ticker,year,month,industry,nim,cost_to_income,credit_loss_ratio,loan_to_deposit,roe,roe_parent,roa,gross_margin,ebit_margin,net_margin,ebitda_margin,debt_to_equity,debt_to_assets,net_debt_to_ebitda,interest_coverage,equity_multiplier,current_ratio,cash_ratio,asset_turnover,receivables_turnover,inventory_turnover,capex_intensity,fcf_margin,fcf_payout_ratio,cfo_to_net_income,capex_to_da,pe_ratio,pb_ratio,ev_to_ebitda
AAISA.SN,2022,12,non_financial,,,,,0.08402578853214036,0.08402097333040105,0.07054900519905191,0.9832178484877073,0.2703213310436857,0.29603499410630635,0.24624126934523002,,,,67.40493779231386,1.1910272624690328,2.8213770637029953,2.2871696644757136,0.23831305961658616,15.332668592800218,,-0.013396474165387365,0.23489305770902197,0.2188592791738325,0.7482108127530863,-0.33805993052435873,,,
AAISA.SN,2023,12,non_financial,,,,,0.1065741257416892,0.10654989397406413,0.08626424648886734,0.9914583055838506,0.35403229107527795,0.2802999235002469,0.3067569043493869,,,,144.93707493639005,1.2354379720391218,1.888618993471865,1.3936203754533432,0.307756939108802,13.37091358873955,,-0.002388605919742348,0.1957199947318219,0.45955257226280377,0.6897304373039161,-0.09715678649118713,,,
AAISA.SN,2024,12,non_financial,,,,,0.11610222298142538,0.11605398674842667,0.0755494475830797,0.9943967810263925,0.34108306382432363,0.25304243004998933,0.3195586298744377,,,,48.53782146148047,1.536771302712053,2.8126028109021126,2.3797412762433083,0.2985643457824629,26.593224026096124,,-0.007541414478983169,0.7914991775617808,0.08548515569932867,3.0981277050173928,-0.34301269747186164,,,
AAISA.SN,2025,12,non_financial,,,,,0.13199725838020576,0.13193811611530804,0.060760018048702985,0.8633434469559086,0.3507366059750374,0.23965116758112923,0.3376084467418072,,,,143.11344855010154,2.172436128547586,2.711954407714895,2.039379249121103,0.2535352473429276,48.39239978454725,,-0.0021510221425231854,1.1813932357553076,0.06201139694253564,4.9206612490781,-0.11719939527448356,,,
AGUAS-A.SN,2012,12,non_financial,,,,,0.17793802945877807,0.19504414742302487,0.07874304469406561,,0.411474312847423,0.3179917357225808,0.6334827567606768,,,,6.518211463783358,2.2597301152134417,0.7273226679705406,0.21375676683984507,0.24762607278184684,4.900112472582856,,-0.2548810755797716,0.7861595097313404,0.3833352068083166,1.6707303192780503,-1.7676336345255663,,,
AGUAS-A.SN,2013,12,non_financial,,,,,0.17664845348829403,0.18924210611572412,0.07587519951787564,,0.37012418040321887,0.29732266409266944,0.6174592769516596,,,,5.158954248863803,2.3281448300729273,0.6038797121941092,0.17556674242999695,0.2551948057825382,4.577965813331613,,-0.29015661854211466,0.7976900121640165,0.2781383185213205,1.7070121282907444,-1.8054879902506284,,,
AGUAS-A.SN,2014,12,non_financial,,,,,0.184665245526459,0.19552977663523866,0.07660297636654306,,0.3360431103581412,0.2792170787247239,0.6218067248028137,,,,4.8182067615228155,2.4106797710162207,0.7201503651080122,0.14844944048679798,0.2743491791992596,4.660942235352269,2.649615943660976,-0.1856783344677889,0.6499025494215592,0.4219269934963297,1.6625924784903374,-1.2357044172240625,,,
AGUAS-A.SN,2015,12,non_financial,,,,,0.19756661912236465,0.20902298428299704,0.07845555039991986,,0.35143375575459485,0.2802804848419889,0.5970033589481786,,,,5.961898909422865,2.51819811492351,0.6395226713004624,0.14179213518032513,0.2799179915938493,4.735591073602781,2.905870955347586,-0.18601773749143438,0.6390616428139271,0.4123800601961442,1.616394753911964,-1.2875786410479506,,,
AGUAS-A.SN,2016,12,non_financial,,,,,0.22542061547141784,0.23744218428623642,0.08738897546256098,,0.4030055285437499,0.31470837635983423,0.6221728575709033,,,,7.3118695017369015,2.5795086196884425,0.8591065544236838,0.306120517469618,0.27768239432763414,4.628937056471486,3.361781842296473,-0.23002599496450205,0.7058337858034925,0.3877189770658547,1.5119006247706506,-1.6889117535709717,,,
AGUAS-A.SN,2017,12,non_financial,,,,,0.20695566311526295,0.2172636064351826,0.07985076473681937,,0.372537314138183,0.2815914168107558,0.5911466556273888,,,,6.101224732708246,2.5917806021942233,0.6352222688710824,0.07932263105323734,0.28356959754381744,4.488719824792657,,-0.22039280494828972,0.6393371984582888,0.4342417935793588,1.4877740175992358,-1.5095148067682844,,,
AGUAS-A.SN,2018,12,non_financial,,,,,0.20279490486836474,0.2130474733862155,0.0730926269397844,,0.35034528164419665,0.2626642641991771,0.5817053895527468,,,,6.194823111876823,2.7744919475316223,0.6954234006476533,0.16499140610480115,0.2782739675784696,4.540317224645672,3.091095339661224,-0.25874483611268284,0.7216008652110687,0.3744471384312121,1.7621583602533923,-1.8185221111819068,,,
AGUAS-A.SN,2019,12,non_financial,,,,,0.2032811148668294,0.21993398206238468,0.0698247619783126,,0.3477490898404009,0.2565715279391596,0.5768889626393139,,,,6.248580238647971,2.911304086220416,0.8163810597090911,0.29761062792212584,0.2721454034247714,4.698081952743193,,-0.2605963378019419,0.6870798029345708,0.3684655832893092,1.6622400332501441,-1.861484833945806,,,
AGUAS-A.SN,2020,12,non_financial,,,,,0.11937631568949701,0.11738900873636131,0.0468027360855091,,0.24162075757720983,0.20963040308890238,0.48030991427151964,,,,4.106205355008359,2.5506268580408467,1.2385825198125484,0.7168943570893312,0.22326311162823304,5.472781098238176,,-0.3112213382592305,0.6982378619765185,0.3176790747271051,1.8461850858205802,-2.2194827276562297,,,
AGUAS-A.SN,2021,12,non_financial,,,,,0.11945499637241315,0.11945651535494611,0.045148734225665434,,0.23754987004067904,0.19872567810354985,0.5260996388235348,,,,4.317916003118706,2.645810528714829,1.1416190672467919,0.657624919527441,0.22719124501937696,5.009205239747605,,-0.31906146407526226,0.7755622509800302,0.2753300366706747,2.297140416181644,-2.335304261165087,,,
AGUAS-A.SN,2022,12,non_financial,,,,,0.10162329067697022,0.10162432220070611,0.035829486946003845,,0.14366195523694736,0.1481424727422165,0.5266520042745573,,,,2.2569382174476296,2.836303261336666,1.2221279560987914,0.674707546804481,0.24185830223281693,4.687066081834474,,-0.2804110401450777,0.7025097814517777,0.18841392239085777,2.8492756566929742,-2.15697391677691,,,
AGUAS-A.SN,2023,12,non_financial,,,,,0.15053199457586858,0.15053520179366883,0.0550446452251591,,0.26105956894325255,0.208147144427895,0.5210857198473839,,,,3.4248413164763103,2.7347254934629928,0.7603777890009583,0.30181449000567995,0.2644506384003135,4.8546939329220375,,-0.23350909110990192,0.5914639253650322,0.2390532803736242,1.7197201299061333,-1.9262056897116528,,,
